Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Marko Jarić,447,7.1,2.7,3.6,40.4,34.4,73.0,45.3,12.0,12.1
Tony Jaros,242,5.4,2.1,0.9,30.6,70.2,-,8.5
Jim Jarvis,125,5.8,1.9,1.2,37.4,32.6,80.3,39.5,10.2,0.9
Šarūnas Jasikevičius,138,6.8,1.6,2.9,39.7,35.5,90.8,48.3,12.7,4.5
Nathan Jawai,45,2.8,2.4,0.5,43.5,0.0,68.4,43.5,10.2,0.2
Buddy Jeannette,139,7.2,-,2.1,34.1,78.1,-,15.7
Abdul Jeelani,143,9.0,3.5,1.1,47.3,0.0,80.2,47.3,17.2,5.4
Chris Jefferies,72,3.9,1.2,0.4,38.3,36.5,66.7,44.9,7.2,-0.5
Othyus Jeffers,37,3.8,2.6,0.6,46.0,16.7,66.7,46.5,12.7,0.8
Al Jefferson,915,15.7,8.4,1.5,49.9,12.1,71.1,49.9,20.6,71.0
Amile Jefferson,18,30,0.8,1.4,1.3,1.5,0.2,0.2,35.7,50.0,-,-,35.7,54.5,35.7,50.0,8.9,14.7,0.0,0.4
Cory Jefferson,58,3.5,2.8,0.3,44.4,12.5,58.3,45.0,13.2,0.9
Dontell Jefferson,6,4.8,2.0,1.5,50.0,50.0,66.7,52.3,12.7,0.2
Richard Jefferson,1181,12.6,4.0,2.0,46.4,37.6,76.8,51.1,14.4,83.0
DaQuan Jeffries,13,13,3.8,3.8,1.4,1.4,0.5,0.5,50.0,50.0,27.8,27.8,83.3,83.3,56.3,56.3,11.2,11.2,0.3,0.3
Jared Jeffries,629,4.8,4.1,1.3,42.6,25.0,58.3,44.0,9.6,13.1
Charles Jenkins,110,3.7,0.9,1.9,43.4,18.2,75.4,43.9,10.7,0.5
Horace Jenkins,15,2.8,0.6,0.6,33.3,0.0,92.3,33.3,10.2,0.0
John Jenkins,171,5.0,1.5,0.8,44.1,36.7,84.7,52.4,11.7,3.0
Brandon Jennings,555,14.1,3.0,5.7,38.7,34.5,79.6,45.2,15.7,29.9
Keith Jennings,164,6.6,1.5,3.7,43.6,37.4,85.2,52.0,15.5,7.7
Chris Jent,6,6.2,2.7,1.3,46.9,42.9,50.0,56.3,11.6,0.2
Les Jepsen,52,1.0,1.3,0.0,33.3,0.0,65.0,33.3,8.8,0.1
Jonas Jerebko,635,6.2,4.0,0.8,45.7,36.3,77.0,52.0,13.2,25.8
Ty Jerome,31,31,3.3,3.3,1.5,1.5,1.4,1.4,33.6,33.6,28.0,28.0,75.0,75.0,39.8,39.8,7.9,7.9,0.0,0.0
Grant Jerrett,8,2.0,1.1,0.4,26.9,6.7,100.0,28.8,1.5,-0.1
Eugene Jeter,62,4.1,1.1,2.6,40.9,20.0,90.2,42.1,11.1,0.7
Hal Jeter,5,0.4,0.2,0.0,25.0,-,-,25.0,-15.2,0.0
Yi Jianlian,272,7.9,4.9,0.7,40.4,33.3,78.0,42.3,11.2,3.1
Britton Johnsen,26,2.1,2.1,0.6,28.4,6.3,43.8,29.0,2.1,-0.7
Alexander Johnson,102,4.3,2.7,0.3,51.7,-,67.2,51.7,11.4,1.5
Alize Johnson,17,31,2.0,1.5,2.8,2.2,0.4,0.3,41.4,35.6,37.5,40.0,70.0,61.1,46.6,40.0,13.3,10.8,0.3,0.3
Amir Johnson,870,7.0,5.4,1.2,57.0,33.2,67.3,58.2,15.8,55.3
Andy Johnson,292,9.8,4.1,2.3,39.2,60.5,11.0,7.9
Anthony Johnson,793,5.6,1.7,2.9,41.4,35.6,74.5,45.4,11.2,23.2
Armon Johnson,47,3.3,1.0,1.2,45.8,40.0,67.9,47.9,10.4,-0.1
Arnie Johnson,332,8.7,6.2,2.2,41.8,73.1,16.0,39.3
Avery Johnson,1054,8.4,1.7,5.5,47.9,14.5,70.6,48.1,14.5,56.5
B.J. Johnson,10,17,3.0,3.1,1.5,1.4,0.3,0.2,28.1,36.0,33.3,37.5,90.0,91.7,32.8,42.0,5.4,8.1,-0.1,-0.1
Brice Johnson,21,2.2,1.6,0.1,44.9,0.0,60.0,44.9,18.1,0.1
Buck Johnson,505,9.1,3.5,1.7,48.8,11.3,73.8,48.8,11.9,20.8
Cameron Johnson,57,57,8.8,8.8,3.3,3.3,1.2,1.2,43.5,43.5,39.0,39.0,80.7,80.7,56.5,56.5,12.9,12.9,2.7,2.7
Carldell Johnson,15,1.8,0.6,1.5,31.4,26.7,33.3,37.1,8.9,0.0
Charles Johnson,521,8.1,2.5,1.9,42.9,75.6,12.5,13.4
Cheese Johnson,9,3.0,1.6,0.2,40.0,-,60.0,40.0,9.4,0.0
Chris Johnson,71,2.9,1.9,0.2,56.2,-,69.9,56.2,14.3,1.5
Chris Johnson,147,4.4,2.0,0.6,39.2,30.7,83.5,48.0,9.7,3.5
Clay Johnson,80,2.8,1.2,0.6,41.0,33.3,72.4,41.2,9.1,0.7
Clemon Johnson,761,5.4,4.6,1.0,49.2,0.0,62.1,49.2,12.7,25.5
Dakari Johnson,31,1.8,1.1,0.3,56.4,-,55.0,56.4,16.4,0.6
Darryl Johnson,11,1.1,0.2,0.1,41.7,0.0,100.0,41.7,9.7,0.0
Dave Johnson,59,3.5,1.1,0.3,36.5,20.0,66.3,37.2,7.5,-0.3
DeMarco Johnson,5,1.2,1.4,0.0,33.3,-,-,33.3,0.5,-0.1
Dennis Johnson,1100,14.1,3.9,5.0,44.5,17.2,79.7,44.8,14.6,82.6
DerMarr Johnson,344,6.2,2.2,0.9,41.1,33.6,78.9,48.5,11.0,6.4
Ed Johnson,166,12.3,10.2,1.1,47.4,33.3,55.4,47.4,14.0,8.5
Eddie Johnson,675,15.1,2.3,5.1,47.6,32.6,79.1,48.2,16.0,41.0
Eddie Johnson,1199,16.0,4.0,2.1,47.2,33.5,84.0,48.9,15.9,65.6
Eric Johnson,48,1.1,0.6,1.3,23.8,16.7,76.5,24.4,4.6,-0.4
Ervin Johnson,845,4.1,6.1,0.5,50.5,20.0,60.5,50.6,12.2,37.8
Frank Johnson,596,8.3,1.7,4.2,43.9,21.8,76.0,44.5,12.7,17.2
George Johnson,136,3.7,5.0,0.6,44.9,-,53.9,44.9,8.6,3.0
George Johnson,904,4.8,6.5,1.0,45.1,50.0,69.4,45.1,12.4,33.0
George Johnson,464,9.1,5.6,1.8,46.3,18.9,77.9,46.5,14.0,14.1
Gus Johnson,631,16.2,12.1,2.5,44.0,19.0,70.0,44.0,16.7,36.9
Harold Johnson,27,0.6,-,0.4,20.0,50.0,-,0.4
Ivan Johnson,125,6.5,3.9,0.6,51.7,15.8,66.2,51.9,15.1,4.5
JaJuan Johnson,36,3.2,1.6,0.2,44.6,-,66.7,44.6,11.4,0.2
James Johnson,32,634,8.4,8.0,3.7,3.6,2.3,2.1,47.9,47.7,36.3,31.0,64.6,69.3,55.6,51.6,14.8,14.6,1.1,24.6
Joe Johnson,1276,16.0,4.0,3.9,44.1,37.1,80.2,49.7,15.4,82.8
John Johnson,869,12.9,5.5,3.8,44.6,0.0,77.9,44.6,14.1,37.1
Kannard Johnson,4,0.5,0.0,0.0,33.3,-,-,33.3,-4.6,-0.1
Keldon Johnson,17,17,9.1,9.1,3.4,3.4,0.9,0.9,59.6,59.6,59.1,59.1,79.5,79.5,66.9,66.9,19.1,19.1,1.1,1.1
Ken Johnson,64,4.1,3.8,0.3,52.8,-,43.5,52.8,9.3,0.8
Ken Johnson,16,2.0,2.0,0.0,40.5,-,33.3,40.5,6.1,0.0
Kevin Johnson,735,17.9,3.3,9.1,49.3,30.5,84.1,50.1,20.7,92.8
Larry Johnson,4,1.5,1.3,1.8,23.1,0.0,8.0,-0.1
Larry Johnson,707,16.2,7.5,3.3,48.4,33.2,76.6,50.5,16.3,69.7
Lee Johnson,12,1.4,1.8,0.1,28.0,-,60.0,28.0,0.8,-0.2
Linton Johnson,151,3.9,3.3,0.4,41.6,30.5,69.9,44.4,10.9,2.6
Magic Johnson,906,19.5,7.2,11.2,52.0,30.3,84.8,53.3,24.1,155.8
Marques Johnson,691,20.1,7.0,3.6,51.8,15.2,73.9,51.9,20.1,79.8
Mickey Johnson,904,14.1,7.2,3.0,44.9,16.5,80.0,45.0,16.9,58.6
Neil Johnson,380,6.9,5.3,1.7,47.9,16.7,67.3,47.9,14.0,12.6
Nick Johnson,28,2.6,1.4,0.4,34.7,23.8,68.0,38.0,4.8,-0.1
Ollie Johnson,690,7.7,3.3,1.8,49.6,15.0,82.7,49.6,12.8,27.0
Omari Johnson,4,5.5,2.8,1.8,42.9,33.3,-,52.4,10.5,0.1
Orlando Johnson,103,3.2,1.7,0.7,35.8,31.1,72.7,43.0,8.5,1.4
Ralph Johnson,204,8.4,3.6,2.8,32.7,74.0,8.8,5.3
Reggie Johnson,305,8.4,4.1,0.9,50.5,14.3,71.6,50.5,12.5,11.0
Rich Johnson,135,5.0,3.1,0.4,46.1,-,63.3,46.1,11.2,2.2
Ron Johnson,14,2.6,2.1,0.1,30.2,64.7,7.5,-0.1
Stanley Johnson,25,310,2.4,6.6,1.5,3.2,0.8,1.4,37.3,37.4,29.2,29.3,56.3,75.5,43.2,43.4,9.9,8.7,0.0,3.4
Steffond Johnson,29,2.6,1.5,0.2,42.2,0.0,52.6,42.2,4.7,-0.2
Steve Johnson,626,11.7,5.5,1.2,57.2,0.0,63.4,57.2,15.3,26.9
Stew Johnson,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15.0,11.8
Trey Johnson,23,2.6,0.9,0.7,38.5,33.3,94.7,39.4,8.1,0.0
Tyler Johnson,39,309,7.0,10.5,1.9,3.2,1.9,2.5,38.8,42.9,31.9,35.9,84.0,77.6,46.4,50.0,10.1,13.4,0.7,15.8
Vinnie Johnson,984,12.0,3.2,3.3,46.4,25.4,74.0,46.8,15.2,50.8
Wesley Johnson,609,7.0,3.2,1.1,40.4,33.7,74.1,48.1,10.0,10.7
Darius Johnson-Odom,7,0.0,0.9,0.3,0.0,0.0,0.0,0.0,-18.4,-0.3
Nate Johnston,21,2.2,1.1,0.0,37.5,25.0,69.2,38.5,14.1,0.1
Neil Johnston,516,19.4,11.3,2.5,44.4,76.8,24.7,92.0
Jim Johnstone,23,1.3,2.0,0.5,36.7,-,45.0,36.7,4.5,-0.1
Nikola Jokić,73,381,19.9,17.0,9.7,9.6,7.0,5.5,52.8,52.4,31.4,33.8,81.7,82.6,56.5,56.1,24.9,24.9,9.8,48.7
Howie Jolliff,138,2.8,4.2,0.8,36.7,52.7,7.9,0.8
Alvin Jones,23,1.1,1.6,0.1,40.0,-,50.0,40.0,6.2,0.1
Anthony Jones,164,3.6,1.3,0.7,39.3,30.6,74.0,40.6,9.8,0.8
Askia Jones,11,4.1,1.0,1.5,34.1,16.7,81.3,36.4,8.3,-0.1
Bill Jones,37,3.5,1.3,0.5,49.0,0.0,67.4,49.0,13.9,0.6
Bobby Jones,941,12.1,6.1,2.7,56.0,0.0,76.6,56.0,18.2,94.1
Bobby Jones,91,3.2,1.6,0.5,44.2,30.6,68.5,48.3,9.7,1.1
Caldwell Jones,1299,7.9,8.2,1.4,47.4,12.3,75.6,47.5,12.1,66.2
Charles Jones,726,2.5,4.5,0.9,48.0,0.0,61.8,48.0,9.2,24.6
Charles Jones,201,5.0,3.8,1.0,49.3,11.1,61.1,49.4,12.2,4.5
Charles Jones,85,3.5,1.2,1.6,32.4,32.4,62.2,41.4,9.4,0.0
Collis Jones,298,8.1,4.7,1.1,45.4,21.4,70.2,45.5,13.6,10.7
Dahntay Jones,624,5.4,1.7,0.8,43.9,32.9,75.1,45.9,9.5,9.9
Damian Jones,55,104,5.6,4.6,3.7,3.1,0.6,0.6,68.0,66.6,22.2,22.2,73.8,67.6,68.5,66.9,15.6,14.4,2.8,4.4
Damon Jones,657,6.6,1.6,2.7,40.7,39.0,72.7,53.3,12.4,28.0
DeQuan Jones,63,3.7,1.7,0.3,43.6,25.7,66.7,45.6,8.4,0.1
Derrick Jones,59,171,8.5,6.7,3.9,3.5,1.1,0.7,52.7,51.1,28.0,28.2,77.2,69.0,58.0,55.3,14.9,13.8,4.4,8.8
Dominique Jones,80,3.1,1.4,1.8,36.6,9.5,72.9,37.0,11.9,0.3
Dontae' Jones,15,2.9,0.6,0.3,33.3,26.1,-,38.6,3.8,-0.3
Dwayne Jones,82,1.3,2.3,0.1,50.8,0.0,49.4,50.8,10.1,1.4
Dwight Jones,766,8.1,5.9,1.2,47.1,50.0,74.0,47.2,13.2,27.6
Earl Jones,14,0.9,0.7,0.3,38.5,-,75.0,38.5,0.2,-0.1
Eddie Jones,954,14.8,4.0,2.9,43.7,37.3,80.9,50.5,16.7,100.6
Edgar Jones,363,9.0,4.8,0.9,50.6,26.2,71.0,51.0,15.1,15.0
Fred Jones,430,7.5,2.2,2.3,41.1,35.3,80.9,47.6,11.3,16.5
Hutch Jones,13,3.2,1.3,0.3,42.5,-,70.0,42.5,9.2,0.0
Jake Jones,17,4.5,1.5,0.7,38.9,64.5,8.6,0.0
Jalen Jones,32,4.8,2.3,0.3,40.0,37.0,67.4,47.7,11.0,0.4
James Jones,709,5.2,1.8,0.5,40.1,40.1,84.0,53.0,11.3,25.2
Jemerrio Jones,6,4.5,8.2,2.2,36.4,20.0,50.0,39.4,12.1,0.2
Jimmy Jones,686,16.6,4.3,4.5,50.9,25.0,78.5,51.0,17.1,78.8
Johnny Jones,80,5.2,2.9,0.8,35.8,0.0,59.7,35.8,10.5,-0.6
Jumaine Jones,471,7.1,4.2,0.9,42.4,34.9,70.4,49.4,12.5,15.1
K.C. Jones,676,7.4,3.5,4.3,38.7,64.7,10.4,38.6
Kevin Jones,32,3.0,2.4,0.3,40.2,-,60.0,40.2,11.1,0.2
Larry Jones,551,19.1,4.9,3.7,45.3,27.7,79.3,46.3,18.9,56.4
Major Jones,374,4.4,3.5,0.6,49.0,11.1,58.6,49.0,11.3,5.5
Mark Jones,6,1.2,0.3,0.8,50.0,0.0,50.0,50.0,14.7,0.0
Mark Jones,10,2.3,1.3,0.6,29.0,0.0,50.0,29.0,4.4,-0.1
Nick Jones,198,5.2,1.1,1.3,41.0,0.0,76.2,41.0,10.2,1.9
Ozell Jones,70,3.5,3.4,0.8,58.2,0.0,39.8,58.2,11.1,1.2
Perry Jones,143,3.4,1.8,0.4,42.0,29.3,66.0,45.9,8.5,1.7
Popeye Jones,535,7.0,7.4,1.3,44.7,28.1,75.1,45.0,13.3,22.0
Rich Jones,508,15.6,7.4,2.7,42.0,30.3,76.9,42.9,14.1,24.7
Robin Jones,75,4.9,4.1,1.1,47.0,58.8,12.8,2.1
Sam Jones,871,17.7,4.9,2.5,45.6,80.3,18.7,92.3
Shelton Jones,51,4.8,2.2,0.8,44.5,0.0,72.5,44.5,10.4,0.3
Solomon Jones,281,3.0,2.3,0.4,46.7,11.1,71.7,46.7,10.2,5.0
Steve Jones,704,15.2,3.5,2.2,44.4,33.8,82.2,45.4,13.8,36.9
Terrence Jones,234,10.4,5.7,1.0,50.1,29.7,62.1,52.4,17.1,14.7
Tyus Jones,65,312,7.4,5.6,1.6,1.5,4.4,3.6,45.9,43.1,37.9,34.5,74.1,80.3,51.4,48.7,15.7,14.0,3.0,11.4
Wah Wah Jones,140,10.2,5.1,3.1,35.5,75.7,13.5,8.8
Wali Jones,678,9.8,2.2,3.1,40.9,24.0,80.2,40.9,11.0,16.1
Wil Jones,725,11.7,7.7,2.0,45.9,14.3,73.3,45.9,13.5,37.2
Willie Jones,272,7.4,2.8,2.0,39.3,68.2,11.2,0.8
Adonis Jordan,10,2.1,0.6,2.2,29.6,25.0,50.0,35.2,8.0,0.0
Charles Jordan,71,5.2,3.0,0.7,43.4,20.0,59.7,43.7,9.7,0.3
DeAndre Jordan,56,875,8.3,9.5,10.0,10.8,1.9,0.9,66.6,66.9,-,9.1,68.0,47.4,66.6,67.0,19.9,18.6,5.2,88.6
Eddie Jordan,420,8.1,1.9,3.8,41.4,22.4,76.3,41.8,13.1,8.8
Jerome Jordan,65,2.8,2.0,0.3,52.8,-,85.2,52.8,17.1,1.7
Michael Jordan,1072,30.1,6.2,5.3,49.7,32.7,83.5,50.9,27.9,214.0
Reggie Jordan,186,2.7,1.8,1.0,43.3,33.3,58.5,43.6,14.1,3.0
Thomas Jordan,4,11.0,4.8,0.8,43.9,-,47.1,43.9,6.9,-0.2
Walter Jordan,30,2.3,1.4,0.4,38.7,-,58.8,38.7,8.5,-0.1
Phil Jordon,442,10.9,6.9,1.7,39.8,69.4,13.4,9.9
Johnny Jorgensen,51,2.3,-,0.6,36.6,73.5,-,1.3
Noble Jorgensen,268,8.8,4.3,1.2,36.0,74.2,13.1,13.5
Roger Jorgensen,28,1.5,-,0.0,25.9,68.4,-,0.1
Cory Joseph,72,600,6.4,6.9,2.6,2.6,3.5,2.9,41.5,44.1,35.2,33.2,85.7,76.9,48.3,48.0,10.1,12.2,2.3,24.1
Garth Joseph,4,0.5,0.5,0.3,20.0,-,0.0,20.0,-5.0,-0.1
Kris Joseph,10,0.9,0.7,0.1,14.3,0.0,62.5,14.3,0.6,-0.1
Yvon Joseph,1,2.0,0.0,0.0,-,-,100.0,-,12.8,0.0
Kevin Joyce,180,10.6,1.7,3.2,41.0,18.5,78.6,41.4,10.0,2.8
Butch Joyner,2,0.0,0.5,0.0,-,-,-,-,-0.3,0.0
Jeff Judkins,272,5.4,1.6,1.0,47.8,31.5,81.2,48.7,12.9,6.3
