Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Tom Thacker,314,3.2,2.6,1.5,36.0,22.7,50.8,36.5,7.4,-0.3
Floyd Theard,25,3.8,2.0,1.8,34.5,0.0,64.3,34.5,2.3,0.0
Daniel Theis,65,194,9.2,6.7,6.6,4.8,1.7,1.2,56.6,55.5,33.3,34.4,76.3,75.3,60.3,59.6,17.9,17.2,6.5,13.6
Reggie Theus,1026,18.5,3.3,6.3,47.1,25.2,82.6,47.9,16.6,66.9
Peter Thibeaux,93,5.0,1.5,0.5,45.3,28.6,62.6,45.6,10.5,0.1
Bill Thieben,85,4.0,3.2,0.3,33.1,64.0,10.1,-0.5
Justus Thigpen,22,2.7,0.8,0.5,36.7,-,33.3,36.7,5.1,-0.3
David Thirdkill,179,2.8,1.2,0.5,45.7,9.1,56.5,45.8,8.0,1.3
Adonis Thomas,6,2.3,0.5,0.5,42.9,20.0,100.0,46.4,7.3,0.0
Billy Thomas,53,2.7,1.0,0.5,33.8,30.4,84.6,44.0,7.8,0.4
Carl Thomas,63,2.9,1.0,0.4,39.8,31.5,64.3,46.3,10.3,0.6
Charles Thomas,36,1.3,0.6,0.6,35.3,11.8,66.7,37.3,6.1,-0.1
Etan Thomas,409,5.7,4.7,0.4,51.3,-,60.3,51.3,14.5,14.9
Irving Thomas,26,1.8,1.2,0.4,34.0,-,57.1,34.0,7.3,-0.1
Isaiah Thomas,40,525,12.2,18.1,1.7,2.5,3.7,5.0,40.8,43.6,41.3,36.4,81.6,87.2,50.0,50.7,11.6,19.8,0.0,45.3
Isiah Thomas,979,19.2,3.6,9.3,45.2,29.0,75.9,46.5,18.1,80.7
Jamel Thomas,12,2.5,1.2,0.5,37.8,16.7,100.0,39.2,4.6,-0.3
James Thomas,33,1.6,2.3,0.2,56.4,-,50.0,56.4,9.1,0.4
Jim Thomas,161,8.4,2.6,2.3,47.1,17.0,76.3,47.5,12.5,4.9
Joe Thomas,39,1.4,1.1,0.4,26.7,45.0,4.3,-0.6
John Thomas,208,2.7,2.1,0.3,50.2,0.0,59.1,50.2,9.4,3.2
Kenny Thomas,632,9.3,6.9,1.5,46.5,24.4,69.9,47.1,13.9,31.2
Khyri Thomas,8,34,2.1,2.3,0.1,0.6,0.4,0.3,29.4,31.4,35.7,30.6,50.0,60.0,44.1,40.1,3.1,5.4,0.0,0.0
Kurt Thomas,1110,8.1,6.6,1.1,48.6,28.1,76.0,48.7,13.9,64.2
Lance Thomas,7,399,3.4,5.1,1.9,2.6,0.9,0.7,34.8,41.6,30.8,38.1,100.0,79.9,43.5,46.2,3.0,8.3,0.0,5.3
Malcolm Thomas,40,1.9,2.4,0.4,43.5,9.1,60.0,44.2,8.4,0.1
Matt Thomas,41,41,4.9,4.9,1.5,1.5,0.5,0.5,48.7,48.7,47.5,47.5,75.0,75.0,64.3,64.3,13.3,13.3,1.2,1.2
Ronald Thomas,264,4.0,4.1,0.8,46.8,21.4,53.6,47.0,12.6,7.4
Terry Thomas,28,2.8,1.3,0.1,43.1,72.4,16.3,0.2
Tim Thomas,824,11.5,4.1,1.5,43.7,36.9,75.8,49.7,14.0,35.2
Tyrus Thomas,402,7.7,4.8,0.9,43.8,23.5,73.2,43.9,14.8,13.0
Willis Thomas,62,9.0,1.8,0.9,44.2,0.0,74.2,44.2,12.3,1.5
Trey Thompkins,24,2.4,1.0,0.1,39.3,30.8,71.4,42.6,12.0,0.0
Bernard Thompson,204,5.3,1.7,1.3,43.9,0.0,78.9,43.9,10.2,3.4
Billy Thompson,300,8.6,5.4,1.7,50.5,15.4,67.4,50.5,13.2,9.6
Brooks Thompson,168,4.5,0.9,1.7,40.9,37.6,64.7,51.9,13.4,2.0
Corny Thompson,44,2.8,2.7,0.8,31.4,-,78.3,31.4,6.0,-0.1
David Thompson,592,22.7,4.1,3.3,50.5,25.5,78.1,50.7,19.9,63.3
Dijon Thompson,16,2.8,1.2,0.2,42.5,30.8,87.5,47.5,16.4,0.2
George Thompson,437,18.6,3.3,3.6,46.5,26.5,76.2,47.3,17.4,30.9
Hollis Thompson,265,7.7,3.1,1.1,41.3,38.6,70.7,51.4,9.6,6.5
Jack Thompson,2,1.0,0.5,1.0,33.3,0.0,-,33.3,5.0,0.0
Jason Thompson,588,8.9,6.6,1.1,49.6,14.3,65.7,49.7,13.5,23.8
John Thompson,74,3.5,3.5,0.3,41.0,59.5,10.2,2.1
Kevin Thompson,14,0.9,0.9,0.2,42.9,0.0,50.0,42.9,4.9,0.0
Klay Thompson,615,19.5,3.5,2.3,45.9,41.9,84.8,55.1,16.4,46.8
LaSalle Thompson,985,7.9,6.8,1.2,49.2,15.4,73.7,49.2,13.6,35.0
Mychal Thompson,935,13.7,7.4,2.3,50.4,8.3,65.5,50.4,15.7,59.1
Mychel Thompson,5,3.6,1.0,1.4,29.2,36.4,-,37.5,2.2,-0.2
Paul Thompson,154,8.9,3.5,1.5,43.2,21.0,79.2,43.8,13.7,4.9
Stephen Thompson,19,1.6,1.0,0.4,37.8,0.0,37.5,37.8,11.5,0.0
Tristan Thompson,57,619,12.0,9.4,10.1,8.7,2.1,1.0,51.2,51.8,39.1,28.1,61.5,61.0,52.0,51.9,16.8,15.6,3.1,43.1
Skip Thoren,170,13.2,11.0,1.9,46.5,0.0,61.2,46.5,18.6,13.0
Rod Thorn,466,10.8,3.1,2.6,43.3,72.3,14.5,17.2
Al Thornton,296,11.9,4.2,1.2,45.2,29.3,74.7,46.5,12.3,6.1
Bob Thornton,283,3.0,2.5,0.3,44.4,22.2,55.8,44.6,6.2,1.3
Dallas Thornton,50,6.8,2.8,1.5,43.3,18.2,65.5,43.7,9.0,1.3
Marcus Thornton,483,11.9,2.8,1.4,42.5,35.8,83.0,49.8,15.5,20.0
Sindarius Thornwell,2,139,8.0,2.6,2.0,1.4,2.0,0.6,54.5,42.0,50.0,35.0,50.0,68.3,63.6,46.8,14.7,7.7,0.1,1.1
Otis Thorpe,1257,14.0,8.2,2.2,54.6,4.7,68.7,54.6,16.0,106.4
Sedale Threatt,951,9.8,1.8,3.8,48.5,29.3,81.5,49.6,14.7,48.0
Nate Thurmond,964,15.0,15.0,2.7,42.1,66.7,16.5,78.0
Mel Thurston,14,5.6,-,0.3,28.3,50.0,-,-0.1
Matisse Thybulle,65,65,4.7,4.7,1.6,1.6,1.2,1.2,42.3,42.3,35.7,35.7,61.0,61.0,52.8,52.8,10.0,10.0,2.3,2.3
Hal Tidrick,61,9.0,-,1.7,31.5,80.0,-,2.5
Dan Tieman,29,1.2,0.8,0.9,26.3,40.0,4.1,-0.5
Darren Tillis,124,3.4,2.5,0.3,42.3,0.0,62.6,42.3,10.0,0.9
Jack Tingle,39,2.3,-,0.2,25.9,51.5,-,0.4
George Tinsley,133,5.3,2.9,0.9,42.2,20.0,74.3,42.7,11.2,3.1
Jamaal Tinsley,547,8.5,2.9,6.1,39.3,29.9,71.6,43.7,13.6,17.2
Wayman Tisdale,840,15.3,6.1,1.3,50.5,0.0,76.0,50.5,15.7,45.7
Mike Tobey,2,1.0,1.5,0.5,25.0,-,-,25.0,-0.1,0.0
Mike Todorovich,131,11.0,6.9,2.9,30.9,71.1,-,5.3
Ray Tolbert,261,3.6,2.3,0.5,49.5,0.0,54.4,49.5,9.8,2.9
Tom Tolbert,312,6.5,4.0,0.9,46.0,29.6,71.6,46.8,10.5,6.6
Anthony Tolliver,55,719,3.6,6.2,2.8,3.3,0.8,0.9,35.7,41.5,33.8,37.3,72.4,77.1,49.2,53.7,7.0,11.0,0.5,25.8
Dean Tolson,80,5.0,2.2,0.4,54.6,54.5,20.1,2.2
Rudy Tomjanovich,768,17.4,8.1,2.0,50.1,26.2,78.4,50.2,16.9,70.4
Andrew Toney,468,15.9,2.2,4.2,50.0,34.2,79.7,51.2,16.1,26.9
Sedric Toney,112,3.7,0.9,2.1,36.5,34.1,78.1,40.6,7.8,0.0
Andy Tonkovich,17,2.6,-,0.6,26.8,66.7,-,-0.4
Andy Toolson,60,2.7,1.2,0.5,39.7,34.1,75.7,44.9,8.0,0.6
Jack Toomay,131,6.7,-,0.9,37.6,69.1,-,6.3
Bernard Toone,23,2.4,1.5,0.5,35.9,14.3,80.0,36.7,8.9,-0.1
Irv Torgoff,147,6.8,-,0.7,24.6,77.1,-,6.5
Gene Tormohlen,271,4.4,4.1,0.9,41.1,57.9,11.9,2.3
Óscar Torres,82,5.4,1.6,0.5,40.1,31.7,76.8,45.9,11.7,1.1
Juan Toscano-Anderson,13,13,5.3,5.3,4.0,4.0,2.0,2.0,46.0,46.0,34.8,34.8,60.0,60.0,52.4,52.4,9.4,9.4,0.2,0.2
Bill Tosheff,203,9.2,3.0,3.3,31.5,79.3,11.2,5.2
Bob Tough,82,7.1,-,1.7,27.8,71.3,-,-0.8
Axel Toupane,25,3.5,1.3,0.6,38.0,31.8,76.5,46.8,7.0,0.4
Monte Towe,115,2.8,0.8,1.9,40.4,21.4,78.3,41.8,9.6,0.2
Keith Tower,53,1.8,1.3,0.1,42.9,0.0,55.6,42.9,5.9,0.0
Blackie Towery,128,9.4,-,2.4,29.3,74.8,-,4.2
Linton Townes,60,4.3,1.1,0.5,44.0,36.0,75.0,45.8,11.5,0.6
Karl-Anthony Towns,35,358,26.5,22.7,10.8,11.8,4.4,2.8,50.8,53.4,41.2,39.6,79.6,83.1,60.0,57.8,26.5,25.1,5.1,50.4
Raymond Townsend,154,4.8,1.0,1.4,41.1,17.1,70.3,41.5,9.8,1.0
George Trapp,379,8.8,3.9,1.0,44.4,75.2,13.3,8.4
John Trapp,303,7.2,4.4,1.0,42.0,0.0,71.7,42.0,10.7,6.4
Robert Traylor,438,4.8,3.7,0.7,47.4,16.7,57.7,47.5,14.5,13.3
Gary Trent,506,8.6,4.5,1.0,50.1,8.0,64.3,50.1,15.9,23.2
Gary Trent,61,76,8.9,7.6,1.6,1.5,1.0,0.9,44.4,43.2,41.8,40.5,82.2,76.9,57.1,55.1,12.9,12.2,2.5,2.3
Jeff Trepagnier,31,2.8,1.4,0.7,33.7,46.2,70.0,36.6,9.5,-0.2
John Tresvant,559,9.2,6.3,1.4,45.1,69.3,13.5,24.4
Allonzo Trier,24,88,6.5,9.7,1.2,2.6,1.2,1.7,48.1,45.4,35.8,38.4,79.1,80.1,57.1,51.0,14.5,12.5,0.5,1.4
Dick Triptow,59,5.7,-,1.6,27.5,72.7,-,1.4
Kelly Tripucka,707,17.2,3.8,3.0,47.3,36.1,84.9,48.2,16.2,44.4
Ansley Truitt,16,2.4,2.4,0.1,42.9,-,33.3,42.9,12.9,-0.1
Cezary Trybański,22,0.7,0.7,0.0,20.8,-,41.7,20.8,-3.0,-0.5
Jake Tsakalidis,315,4.8,3.9,0.3,49.0,0.0,65.7,49.0,11.8,9.9
John Tschogl,113,2.5,1.8,0.6,35.6,58.1,7.3,-0.3
Lou Tsioropoulos,157,5.8,4.8,1.1,31.5,71.7,7.7,2.1
Nikoloz Tskitishvili,172,2.9,1.8,0.7,30.4,23.5,73.0,33.8,5.2,-1.6
Al Tucker,352,10.1,4.9,1.0,45.6,37.1,72.7,46.1,13.1,11.1
Alando Tucker,51,4.1,1.0,0.3,42.3,29.4,78.3,45.1,13.0,0.4
Anthony Tucker,62,3.9,2.7,1.1,45.7,0.0,61.4,45.7,9.2,0.6
Jim Tucker,99,4.1,3.5,0.5,34.9,76.2,8.5,1.3
P.J. Tucker,72,654,6.9,7.3,6.6,5.8,1.6,1.4,41.5,42.1,35.8,36.1,81.3,74.8,54.1,50.5,8.3,10.5,4.0,34.1
Rayjon Tucker,20,20,3.1,3.1,1.0,1.0,0.3,0.3,46.5,46.5,17.6,17.6,82.6,82.6,50.0,50.0,9.7,9.7,0.2,0.2
Trent Tucker,756,8.2,2.0,2.0,46.1,40.8,75.4,51.2,12.9,34.3
Ronny Turiaf,473,4.7,3.7,1.3,53.3,0.0,63.6,53.3,13.8,19.2
Mirsad Türkcan,17,1.9,1.9,0.3,36.8,0.0,62.5,36.8,11.1,0.0
Hedo Türkoğlu,997,11.1,4.0,2.8,42.6,38.4,78.4,49.5,14.3,63.3
Andre Turner,170,4.5,1.5,3.1,42.2,23.7,76.4,43.2,12.0,1.8
Bill Turner,294,5.4,3.5,0.6,40.7,72.8,10.7,4.8
Elston Turner,505,4.7,2.7,1.8,43.2,15.2,71.4,43.3,9.6,8.5
Evan Turner,19,705,3.3,9.7,2.0,4.6,2.0,3.5,37.3,43.4,0.0,29.4,85.7,78.2,37.3,45.5,6.8,11.9,-0.3,20.2
Gary Turner,2,3.0,1.5,0.0,100.0,-,66.7,100.0,10.1,0.1
Henry Turner,66,3.4,1.2,0.4,45.3,25.0,60.0,45.8,13.7,0.4
Herschell Turner,41,3.2,1.8,1.1,32.1,23.1,48.9,34.0,2.2,-0.6
Jack Turner,65,4.3,2.4,1.2,36.0,78.9,10.5,0.6
Jack Turner,42,4.8,2.0,1.0,38.0,76.2,8.7,0.0
Jeff Turner,612,6.0,3.3,1.0,46.7,34.4,76.9,47.8,8.4,8.9
John Turner,42,2.8,1.9,0.3,43.9,-,52.5,43.9,7.8,-0.1
Myles Turner,62,342,12.1,12.7,6.6,6.7,1.2,1.2,45.7,48.8,34.4,35.7,75.1,76.8,53.0,52.6,14.8,16.9,4.2,26.4
Wayne Turner,3,1.3,1.0,1.7,16.7,-,33.3,16.7,-1.7,-0.1
Melvin Turpin,361,8.5,4.6,0.5,51.6,11.1,77.7,51.6,14.3,13.7
Dave Twardzik,536,9.3,2.4,3.4,52.7,24.5,82.1,52.9,13.8,33.4
Jack Twyman,823,19.2,6.6,2.3,45.0,77.8,17.8,75.0
B.J. Tyler,55,3.5,1.1,3.2,38.1,31.4,70.0,42.3,8.5,-0.7
Jeremy Tyler,104,3.6,2.6,0.2,45.0,0.0,55.7,45.0,11.1,0.3
Terry Tyler,871,10.2,5.4,1.2,48.4,12.2,70.3,48.5,14.6,40.8
Charlie Tyra,348,8.9,7.4,0.9,38.7,67.2,11.9,5.0
