Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Joe Pace,79,3.2,2.1,0.3,46.7,59.8,14.3,1.1
Gary Payton,1335,16.3,3.9,6.7,46.6,31.7,72.9,49.6,18.9,145.5
Gary Payton,29,61,3.9,3.5,2.8,2.3,1.7,1.4,41.4,41.4,28.3,25.6,50.0,45.5,47.0,46.1,11.3,10.5,0.5,0.6
Mel Payton,111,5.4,3.6,1.1,36.3,74.6,14.3,2.5
George Pearcy,37,2.5,-,0.4,23.8,72.7,-,1.4
Henry Pearcy,29,2.5,-,0.2,22.2,73.5,-,0.5
Oleksiy Pecherov,111,3.9,2.4,0.2,38.6,29.0,79.3,44.1,11.9,0.5
Wiley Peck,52,3.5,3.5,0.6,43.2,0.0,61.8,43.2,8.9,0.3
Rich Peek,51,4.6,3.9,0.4,48.3,-,53.8,48.3,10.3,1.0
Anthony Peeler,827,9.7,2.6,2.4,42.7,38.4,79.9,49.2,12.9,30.7
George Peeples,309,8.1,7.3,1.0,44.1,0.0,63.9,44.1,12.8,11.0
Nikola Peković,271,12.6,6.7,0.7,51.8,-,76.0,51.8,18.6,18.8
Jake Pelkington,54,11.1,-,2.4,41.2,79.0,-,8.1
Norvel Pelle,24,24,2.4,2.4,3.0,3.0,0.3,0.3,52.1,52.1,0.0,0.0,50.0,50.0,52.1,52.1,10.5,10.5,0.3,0.3
Sam Pellom,196,4.4,3.5,0.5,46.4,0.0,72.4,46.4,10.9,4.6
Mike Penberthy,56,4.9,1.2,1.3,41.5,39.6,88.6,53.8,11.5,1.7
Jerry Pender,11,2.5,0.5,0.4,26.7,33.3,76.9,28.3,4.2,-0.2
Desmond Penigar,10,3.2,2.4,0.3,50.0,-,100.0,50.0,12.9,0.1
Kirk Penney,6,0.8,0.3,0.3,22.2,25.0,-,27.8,-6.0,-0.2
Mike Peplowski,68,2.9,2.6,0.4,55.6,0.0,53.1,55.6,9.8,1.0
Will Perdue,792,4.7,4.9,0.8,51.5,6.7,57.7,51.6,13.6,26.6
Kendrick Perkins,782,5.4,5.8,1.0,53.0,0.0,59.4,53.0,10.7,27.9
Sam Perkins,1286,11.9,6.0,1.5,45.9,36.2,81.1,49.4,15.5,105.4
Warren Perkins,126,6.1,4.8,2.0,30.9,61.8,-,3.1
Kosta Perović,7,1.4,1.9,0.1,30.0,-,66.7,30.0,10.3,0.0
London Perrantes,14,0.5,0.3,0.4,15.4,0.0,60.0,15.4,0.7,-0.1
Aulcie Perry,21,8.6,5.0,1.0,43.5,0.0,63.3,43.5,12.2,0.1
Curtis Perry,480,9.5,8.8,1.9,45.5,69.9,13.5,29.6
Elliot Perry,549,6.3,1.4,3.1,45.9,35.9,78.3,48.3,14.3,14.0
Ron Perry,187,11.9,2.8,2.2,38.2,34.3,70.2,41.4,10.1,6.0
Tim Perry,481,6.8,4.0,0.9,48.5,31.8,64.8,50.1,12.4,14.6
Chuck Person,943,14.7,5.1,2.8,45.8,36.2,72.3,50.8,13.7,38.9
Wesley Person,733,11.2,3.3,1.7,45.7,41.8,77.8,54.1,14.1,44.0
Alec Peters,20,4.1,1.9,0.6,37.8,31.0,80.0,50.0,10.7,0.3
Jim Petersen,491,6.9,4.8,1.0,48.6,7.1,72.5,48.6,11.0,13.8
Loy Petersen,69,2.9,1.0,0.7,38.7,68.2,9.5,0.2
Bob Peterson,103,4.7,3.8,0.8,38.6,66.9,12.1,1.5
Ed Peterson,115,7.0,5.4,0.9,38.4,62.7,-,6.6
Mel Peterson,134,7.7,4.7,1.2,44.2,22.5,82.0,44.6,14.5,2.1
Morris Peterson,711,10.7,3.5,1.5,41.8,37.3,77.3,49.5,13.3,35.7
Geoff Petrie,446,21.8,2.8,4.6,45.5,80.5,15.8,26.1
Johan Petro,473,4.7,3.9,0.5,46.2,15.4,67.8,46.2,10.4,5.5
Dražen Petrović,290,15.4,2.3,2.4,50.6,43.7,84.1,54.4,16.4,21.5
Richard Petruška,22,2.4,1.4,0.0,43.5,46.7,75.0,51.1,12.3,0.0
Bob Pettit,792,26.4,16.2,3.0,43.6,76.1,25.3,136.0
Jerry Pettway,87,9.1,3.5,1.4,33.9,25.8,65.3,34.8,9.7,-2.0
Roger Phegley,345,8.7,2.0,1.4,47.0,25.3,83.4,47.5,13.6,8.5
Jack Phelan,55,4.1,-,1.0,32.5,57.8,-,-0.5
James Phelan,4,0.8,1.3,0.5,0.0,50.0,-4.8,-0.1
Derrick Phelps,3,0.0,0.0,0.3,0.0,-,0.0,0.0,-17.3,0.0
Michael Phelps,132,3.6,1.1,1.0,41.6,9.1,63.9,41.8,8.8,0.3
Andy Phillip,701,9.1,4.4,5.4,36.8,69.5,11.1,53.3
Eddie Phillips,48,3.2,1.6,0.6,40.6,0.0,67.8,40.6,7.5,0.1
Gary Phillips,348,6.7,2.6,1.9,37.0,62.9,8.2,2.3
Gene Phillips,31,2.5,0.7,0.5,37.0,35.0,78.6,41.4,10.1,0.0
Bobby Phills,467,11.0,3.1,2.7,44.3,39.0,73.8,48.2,14.1,27.2
Eric Piatkowski,789,7.5,2.2,1.0,43.4,39.9,83.9,52.6,14.0,31.0
Walter Piatkowski,157,9.3,3.9,0.6,40.9,28.8,77.2,42.2,12.0,1.8
Paul Pierce,1343,19.7,5.6,3.5,44.5,36.8,80.6,50.0,19.7,150.0
Ricky Pierce,969,14.9,2.4,1.9,49.3,32.2,87.5,50.7,17.7,72.2
Stan Pietkiewicz,96,3.9,1.0,1.8,45.8,33.3,80.6,50.2,13.1,1.5
Mickaël Piétrus,557,8.3,3.1,0.8,42.5,35.5,66.5,51.4,11.6,19.7
John Pilch,9,0.6,1.0,0.2,10.0,50.0,-2.6,-0.1
Ed Pinckney,793,6.8,5.0,0.9,53.5,0.0,76.5,53.5,14.8,42.7
Kevinn Pinkney,6,5.2,2.5,0.8,44.4,50.0,66.7,46.3,11.6,0.2
John Pinone,7,2.9,1.4,0.4,53.8,-,60.0,53.8,7.8,0.1
Theo Pinson,33,51,3.6,3.9,1.6,1.8,1.7,1.5,29.0,30.7,18.8,21.4,93.8,89.5,33.9,36.6,5.2,6.2,-0.6,-0.6
Dave Piontek,413,7.2,4.3,1.2,39.1,65.2,11.7,7.0
Tom Piotrowski,18,1.7,0.9,0.3,46.2,-,100.0,46.2,9.2,0.1
Scottie Pippen,1178,16.1,6.4,5.2,47.3,32.6,70.4,50.4,18.6,125.1
Charles Pittman,234,4.5,3.1,0.9,54.6,0.0,71.1,54.6,10.1,4.2
Dexter Pittman,50,2.3,1.8,0.2,45.0,-,54.5,45.0,9.1,0.5
Zoran Planinić,148,3.8,1.3,1.1,40.5,28.9,67.7,44.3,9.6,1.5
Tibor Pleiß,12,2.0,1.3,0.2,44.0,0.0,100.0,44.0,3.5,-0.1
Marshall Plumlee,29,1.9,2.3,0.4,51.5,-,57.1,51.5,10.9,0.3
Mason Plumlee,61,532,7.2,8.3,5.2,6.2,2.5,2.2,61.5,57.4,0.0,6.3,53.5,56.2,61.5,57.5,18.8,17.9,3.4,34.3
Miles Plumlee,346,4.9,4.5,0.5,54.2,-,54.3,54.2,13.7,10.6
Gary Plummer,126,4.2,2.4,0.5,43.0,14.3,71.7,43.2,8.1,0.2
Pavel Podkolzin,6,0.7,1.5,0.0,0.0,-,50.0,0.0,-2.8,-0.1
Jakob Poeltl,66,279,5.6,5.5,5.7,4.8,1.8,1.0,62.4,63.8,-,50.0,46.5,53.6,62.4,63.8,19.1,17.7,4.0,16.3
Vincent Poirier,22,22,1.9,1.9,2.0,2.0,0.4,0.4,47.2,47.2,50.0,50.0,85.7,85.7,48.6,48.6,12.7,12.7,0.3,0.3
Dwayne Polee,1,2.0,0.0,0.0,25.0,0.0,-,25.0,-11.4,0.0
Jim Pollard,438,13.2,7.8,3.2,36.0,75.0,15.5,34.9
Scot Pollard,506,4.4,4.6,0.4,49.4,0.0,70.9,49.4,13.8,26.6
Ralph Polson,49,3.9,4.3,0.5,36.3,63.5,11.0,0.8
Olden Polynice,1058,7.8,6.7,0.7,50.5,19.2,53.5,50.6,13.2,46.8
Cliff Pondexter,197,3.9,3.8,1.1,41.6,66.7,11.7,4.7
Quincy Pondexter,355,4.5,1.8,0.7,42.3,35.6,74.6,50.1,9.8,9.7
Shamorie Ponds,4,4,2.3,2.3,0.3,0.3,0.5,0.5,60.0,60.0,50.0,50.0,100.0,100.0,70.0,70.0,33.1,33.1,0.1,0.1
Jordan Poole,57,57,8.8,8.8,2.1,2.1,2.4,2.4,33.3,33.3,27.9,27.9,79.8,79.8,40.6,40.6,7.2,7.2,-1.2,-1.2
David Pope,33,1.9,0.9,0.3,35.6,50.0,52.9,36.3,4.7,-0.1
Mark Pope,153,1.9,1.7,0.4,40.1,17.9,57.3,41.9,6.4,1.3
Dave Popson,41,1.9,1.1,0.3,40.5,0.0,75.0,40.5,8.2,-0.1
Ben Poquette,718,6.8,5.2,1.2,48.3,22.0,77.9,48.4,12.6,30.4
Chris Porter,51,8.6,3.7,1.2,38.9,0.0,66.7,38.9,11.1,0.2
Howard Porter,457,9.2,4.1,0.5,46.9,80.2,14.4,17.6
Kevin Porter,659,11.6,1.8,8.1,48.3,18.8,73.7,48.3,15.6,36.0
Kevin Porter,50,50,10.0,10.0,3.2,3.2,2.2,2.2,44.2,44.2,33.5,33.5,72.3,72.3,50.5,50.5,10.8,10.8,0.3,0.3
Michael Porter,55,55,9.3,9.3,4.7,4.7,0.8,0.8,50.9,50.9,42.2,42.2,83.3,83.3,59.0,59.0,19.8,19.8,2.9,2.9
Otto Porter,14,413,11.9,11.0,3.4,4.9,1.8,1.5,44.3,48.2,38.7,40.4,70.4,78.9,52.9,55.7,15.8,15.6,0.8,29.9
Terry Porter,1274,12.2,3.0,5.6,46.3,38.6,83.6,51.8,17.2,110.4
Willie Porter,69,10.5,7.3,0.9,42.3,-,66.5,42.3,14.7,2.4
Bobby Portis,66,315,10.1,10.2,5.1,5.9,1.5,1.2,45.0,45.6,35.8,36.0,76.3,75.4,50.7,50.4,14.6,16.1,1.9,10.8
Bob Portman,221,5.7,3.3,0.6,44.3,78.0,13.0,4.4
Kristaps Porziņģis,57,243,20.4,18.4,9.5,7.6,1.8,1.4,42.7,43.4,35.2,35.8,79.9,80.3,50.3,49.2,20.2,18.8,5.2,17.3
James Posey,864,8.6,4.7,1.6,41.0,34.9,82.0,49.5,12.4,51.6
Lavor Postell,61,3.2,0.7,0.2,33.5,25.0,79.5,36.6,8.9,-0.2
John Postley,1,2.0,6.0,1.0,33.3,-,-,33.3,20.9,0.0
Vitaly Potapenko,610,6.5,4.5,0.7,47.9,16.7,69.4,47.9,11.8,15.5
Leon Powe,239,6.2,3.8,0.3,51.5,0.0,68.2,51.5,16.8,12.0
Cincinnatus Powell,599,16.3,7.6,2.2,47.2,27.4,72.5,47.4,16.7,41.1
Dwight Powell,40,371,9.4,7.7,5.7,4.6,1.5,1.0,63.8,56.3,25.6,29.3,66.7,73.9,65.9,59.1,15.9,18.1,3.6,26.0
Josh Powell,316,3.9,2.9,0.5,43.8,35.0,74.3,44.1,9.2,2.5
Kasib Powell,11,7.6,4.0,1.6,36.8,24.2,66.7,41.1,9.0,0.0
Norman Powell,52,307,16.0,8.6,3.7,2.4,1.8,1.3,49.5,45.7,39.9,36.1,84.3,81.8,58.6,53.3,16.8,13.5,4.6,12.0
Roger Powell,3,0.7,1.0,0.0,0.0,0.0,100.0,0.0,-8.3,-0.1
Alex Poythress,52,3.8,2.3,0.5,47.2,35.8,66.7,53.1,11.7,1.0
Marlbert Pradd,79,4.2,1.0,0.3,43.9,23.1,77.4,44.5,19.0,1.7
Mike Pratt,143,5.6,2.7,2.0,42.7,37.3,79.9,44.0,10.8,3.2
Paul Pressey,724,10.6,3.9,5.1,48.5,22.2,74.9,49.1,15.5,49.0
Phil Pressey,148,3.2,1.5,2.9,34.1,25.4,63.0,38.8,9.9,0.8
Dominic Pressley,13,1.8,1.2,2.0,29.0,0.0,55.6,29.0,5.3,-0.2
Harold Pressley,299,9.0,4.5,2.1,43.7,35.8,77.8,48.0,13.8,10.0
Stephen Previs,30,1.8,0.5,0.8,38.3,12.5,53.3,39.2,6.3,-0.1
A.J. Price,261,5.8,1.4,2.2,38.0,31.6,74.2,45.6,12.2,4.7
Brent Price,418,5.9,1.6,3.0,42.6,38.7,82.4,52.1,13.3,12.0
Jim Price,510,10.0,3.1,3.7,44.4,81.5,13.7,19.7
Mark Price,722,15.2,2.6,6.7,47.2,40.2,90.4,53.0,19.6,71.1
Mike Price,123,3.2,1.3,0.7,40.2,-,77.2,40.2,9.1,0.4
Ronnie Price,544,3.7,1.2,1.8,37.3,30.2,73.8,43.4,9.1,4.0
Tony Price,5,0.8,0.0,0.6,28.6,-,-,28.6,2.4,-0.1
Bob Priddy,16,2.3,2.3,0.4,36.8,57.1,7.8,0.0
Pablo Prigioni,270,3.5,1.9,2.8,42.5,37.9,87.2,55.4,12.3,10.4
Taurean Prince,64,260,12.1,11.6,6.0,4.3,1.8,1.9,37.6,41.2,33.9,36.6,79.8,81.8,47.5,50.4,9.1,11.2,0.6,5.1
Tayshaun Prince,1017,11.1,4.3,2.4,45.5,36.7,75.6,48.3,13.7,63.1
John Pritchard,7,3.1,-,1.1,31.0,36.4,-,-0.2
Kevin Pritchard,94,3.6,1.0,1.6,39.9,18.6,79.0,41.3,8.2,0.4
Laron Profit,135,3.3,1.5,1.2,41.9,23.6,71.2,44.4,10.6,0.7
Gabe Pruitt,62,2.0,0.8,0.8,32.1,28.3,78.3,38.2,7.7,0.4
Joel Przybilla,592,3.9,6.2,0.4,55.2,0.0,55.7,55.2,12.0,23.0
Les Pugh,116,6.1,-,0.6,28.5,79.2,-,0.6
Roy Pugh,23,1.4,-,0.4,25.5,31.6,-,-0.2
Anthony Pullard,8,2.1,1.0,0.3,44.4,-,33.3,44.4,9.2,-0.1
Jacob Pullen,3,0.7,0.0,0.0,50.0,0.0,-,50.0,-2.3,0.0
Rodney Purvis,16,6.0,1.7,1.1,32.7,25.0,86.7,38.8,4.5,-0.3
Don Putman,216,4.8,-,1.3,26.2,62.1,-,2.0
